Country,Year,Female Baby Death Rate,Latitude,Longitude
Switzerland,1948,0.031804,46.7985624,8.2319736
Norway,1948,0.024103,61.1529386,8.7876653
Australia,1948,0.024184,-24.7761086,134.755
Scotland,1948,0.036912,56.7861112,-4.1140518
New Zealand -- Maori,1948,0.070994,-41.2086794,174.8683301
Spain,1948,0.067787,39.3260685,-4.8379791
Northern Ireland,1948,0.037601,54.5859836,-6.9591554
Iceland,1948,0.025608,64.9841821,-18.1059013
Austria,1948,0.073267,47.59397,14.12456
New Zealand,1948,0.024022,-41.5000831,172.8344077
England and Wales,1948,0.029382,51.5742454,-2.6999204
France,1948,0.050166,46.603354,1.8883335
Netherlands,1948,0.025207,52.2434979,5.6343227
New Zealand -- Non-Maori,1948,0.018959,,
Denmark,1948,0.029621,55.670249,10.3333283
The United States of America,1948,0.030705,35.4202289,-78.0254279
Japan,1948,0.059343,36.5748441,139.2394179
Sweden,1948,0.019405,59.6749712,14.5208584
England and Wales,1948,0.029382,51.5742454,-2.6999204
Finland,1948,0.046431,63.2467777,25.9209164
Italy,1948,0.070695,42.6384261,12.674297
Bulgaria,1948,0.122427,42.6073975,25.4856617
France,1948,0.050166,46.603354,1.8883335
Canada,1948,0.041898,61.0666922,-107.991707
Sweden,1790,0.221102,59.6749712,14.5208584
Sweden,1784,0.220792,59.6749712,14.5208584
Sweden,1785,0.210779,59.6749712,14.5208584
Sweden,1791,0.203631,59.6749712,14.5208584
Portugal,1949,0.113202,39.6621648,-8.1353519
United Kingdom,1949,0.029193,54.7023545,-3.2765753
Belgium,1949,0.049927,50.6402809,4.6667145
Switzerland,1949,0.030384,46.7985624,8.2319736
Norway,1949,0.022019,61.1529386,8.7876653
Australia,1949,0.022784,-24.7761086,134.755
Scotland,1949,0.036589,56.7861112,-4.1140518
New Zealand -- Maori,1949,0.086961,-41.2086794,174.8683301
Spain,1949,0.070177,39.3260685,-4.8379791
Northern Ireland,1949,0.042653,54.5859836,-6.9591554
Iceland,1949,0.021837,64.9841821,-18.1059013
Austria,1949,0.067173,47.59397,14.12456
New Zealand,1949,0.027368,-41.5000831,172.8344077
England and Wales,1949,0.02773,51.5742454,-2.6999204
France,1949,0.054374,46.603354,1.8883335
Netherlands,1949,0.023366,52.2434979,5.6343227
New Zealand -- Non-Maori,1949,0.021086,,
Denmark,1949,0.029383,55.670249,10.3333283
The United States of America,1949,0.030533,35.4202289,-78.0254279
Japan,1949,0.061433,36.5748441,139.2394179
Sweden,1949,0.020024,59.6749712,14.5208584
England and Wales,1949,0.02773,51.5742454,-2.6999204
Finland,1949,0.043283,63.2467777,25.9209164
Italy,1949,0.069128,42.6384261,12.674297
Bulgaria,1949,0.114733,42.6073975,25.4856617
France,1949,0.054374,46.603354,1.8883335
Canada,1949,0.039933,61.0666922,-107.991707
Portugal,1961,0.090541,39.6621648,-8.1353519
Belarus,1961,0.025241,53.4250605,27.6971358
United Kingdom,1961,0.019866,54.7023545,-3.2765753
Poland,1961,0.048614,52.215933,19.134422
Belgium,1961,0.024816,50.6402809,4.6667145
Switzerland,1961,0.0187,46.7985624,8.2319736
West Germany,1961,0.029031,40.4203479,-79.1166983
Norway,1961,0.014762,61.1529386,8.7876653
Australia,1961,0.01764,-24.7761086,134.755
Scotland,1961,0.022819,56.7861112,-4.1140518
Lithuania,1961,0.031186,55.3500003,23.7499997
New Zealand -- Maori,1961,0.048428,-41.2086794,174.8683301
Spain,1961,0.043976,39.3260685,-4.8379791
Northern Ireland,1961,0.022193,54.5859836,-6.9591554
Iceland,1961,0.013096,64.9841821,-18.1059013
Austria,1961,0.029432,47.59397,14.12456
Russia,1961,0.02936,64.6863136,97.7453061
New Zealand,1961,0.020313,-41.5000831,172.8344077
England and Wales,1961,0.019403,51.5742454,-2.6999204
Hungary,1961,0.039183,47.1817585,19.5060937
France,1961,0.022768,46.603354,1.8883335
Netherlands,1961,0.014459,52.2434979,5.6343227
Ukraine,1961,0.022063,49.4871968,31.2718321
New Zealand -- Non-Maori,1961,0.016583,,
Luxembourg,1961,0.024511,49.8158683,6.1296751
Denmark,1961,0.019132,55.670249,10.3333283
The United States of America,1961,0.022388,35.4202289,-78.0254279
East Germany,1961,0.030373,43.0439394,-87.9081981
Latvia,1961,0.0202,56.8406494,24.7537645
Japan,1961,0.025746,36.5748441,139.2394179
Sweden,1961,0.01401,59.6749712,14.5208584
England and Wales,1961,0.019403,51.5742454,-2.6999204
Finland,1961,0.019139,63.2467777,25.9209164
Czechia,1961,0.016368,49.7439047,15.3381061
Italy,1961,0.038816,42.6384261,12.674297
Bulgaria,1961,0.03392,42.6073975,25.4856617
Estonia,1961,0.023388,58.7523778,25.3319078
Slovakia,1961,0.025158,48.7411522,19.4528646
Ireland,1961,0.026952,52.865196,-7.9794599
France,1961,0.022768,46.603354,1.8883335
Canada,1961,0.024162,61.0666922,-107.991707
Portugal,1975,0.036171,39.6621648,-8.1353519
Belarus,1975,0.016691,53.4250605,27.6971358
United Kingdom,1975,0.013931,54.7023545,-3.2765753
Poland,1975,0.025756,52.215933,19.134422
Belgium,1975,0.013853,50.6402809,4.6667145
Switzerland,1975,0.008952,46.7985624,8.2319736
West Germany,1975,0.017018,40.4203479,-79.1166983
Norway,1975,0.008693,61.1529386,8.7876653
Australia,1975,0.012169,-24.7761086,134.755
Scotland,1975,0.015018,56.7861112,-4.1140518
Lithuania,1975,0.016834,55.3500003,23.7499997
New Zealand -- Maori,1975,0.015484,-41.2086794,174.8683301
Spain,1975,0.016602,39.3260685,-4.8379791
Northern Ireland,1975,0.019083,54.5859836,-6.9591554
Iceland,1975,0.009788,64.9841821,-18.1059013
Austria,1975,0.017427,47.59397,14.12456
Russia,1975,0.019776,64.6863136,97.7453061
New Zealand,1975,0.013354,-41.5000831,172.8344077
England and Wales,1975,0.013592,51.5742454,-2.6999204
Taiwan,1975,0.012762,23.9739374,120.9820179
Hungary,1975,0.02973,47.1817585,19.5060937
France,1975,0.011833,46.603354,1.8883335
Netherlands,1975,0.008656,52.2434979,5.6343227
Ukraine,1975,0.016189,49.4871968,31.2718321
New Zealand -- Non-Maori,1975,0.013061,,
Luxembourg,1975,0.012916,49.8158683,6.1296751
Denmark,1975,0.008947,55.670249,10.3333283
The United States of America,1975,0.014161,35.4202289,-78.0254279
East Germany,1975,0.013903,43.0439394,-87.9081981
Latvia,1975,0.016957,56.8406494,24.7537645
Japan,1975,0.008545,36.5748441,139.2394179
Sweden,1975,0.007147,59.6749712,14.5208584
England and Wales,1975,0.013592,51.5742454,-2.6999204
Finland,1975,0.008209,63.2467777,25.9209164
Czechia,1975,0.016899,49.7439047,15.3381061
Italy,1975,0.018484,42.6384261,12.674297
Bulgaria,1975,0.019627,42.6073975,25.4856617
Estonia,1975,0.014051,58.7523778,25.3319078
Slovakia,1975,0.020852,48.7411522,19.4528646
Ireland,1975,0.015512,52.865196,-7.9794599
France,1975,0.011833,46.603354,1.8883335
Canada,1975,0.012744,61.0666922,-107.991707
Sweden,1752,0.246347,59.6749712,14.5208584
France,1829,0.177259,46.603354,1.8883335
Sweden,1829,0.210489,59.6749712,14.5208584
France,1829,0.177259,46.603354,1.8883335
Sweden,1815,0.185037,59.6749712,14.5208584
Sweden,1801,0.228146,59.6749712,14.5208584
Iceland,1839,0.400977,64.9841821,-18.1059013
France,1839,0.162787,46.603354,1.8883335
Denmark,1839,0.182344,55.670249,10.3333283
Sweden,1839,0.168654,59.6749712,14.5208584
France,1839,0.162787,46.603354,1.8883335
Sweden,1805,0.190214,59.6749712,14.5208584
Sweden,1811,0.219276,59.6749712,14.5208584
Sweden,1756,0.246862,59.6749712,14.5208584
Sweden,1795,0.215435,59.6749712,14.5208584
Portugal,1959,0.088045,39.6621648,-8.1353519
Belarus,1959,0.043742,53.4250605,27.6971358
United Kingdom,1959,0.020839,54.7023545,-3.2765753
Poland,1959,0.066029,52.215933,19.134422
Belgium,1959,0.026651,50.6402809,4.6667145
Switzerland,1959,0.018591,46.7985624,8.2319736
West Germany,1959,0.031689,40.4203479,-79.1166983
Norway,1959,0.015007,61.1529386,8.7876653
Australia,1959,0.019309,-24.7761086,134.755
Scotland,1959,0.024958,56.7861112,-4.1140518
Lithuania,1959,0.047318,55.3500003,23.7499997
New Zealand -- Maori,1959,0.049224,-41.2086794,174.8683301
Spain,1959,0.0444,39.3260685,-4.8379791
Northern Ireland,1959,0.028315,54.5859836,-6.9591554
Iceland,1959,0.014927,64.9841821,-18.1059013
Austria,1959,0.037286,47.59397,14.12456
Russia,1959,0.037393,64.6863136,97.7453061
New Zealand,1959,0.022006,-41.5000831,172.8344077
England and Wales,1959,0.019996,51.5742454,-2.6999204
Hungary,1959,0.046968,47.1817585,19.5060937
France,1959,0.026066,46.603354,1.8883335
Netherlands,1959,0.015253,52.2434979,5.6343227
Ukraine,1959,0.033044,49.4871968,31.2718321
New Zealand -- Non-Maori,1959,0.01851,,
Denmark,1959,0.019166,55.670249,10.3333283
The United States of America,1959,0.023706,35.4202289,-78.0254279
East Germany,1959,0.038425,43.0439394,-87.9081981
Latvia,1959,0.026288,56.8406494,24.7537645
Japan,1959,0.030539,36.5748441,139.2394179
Sweden,1959,0.013865,59.6749712,14.5208584
England and Wales,1959,0.019996,51.5742454,-2.6999204
Finland,1959,0.020217,63.2467777,25.9209164
Czechia,1959,0.017864,49.7439047,15.3381061
Italy,1959,0.043846,42.6384261,12.674297
Bulgaria,1959,0.053487,42.6073975,25.4856617
Estonia,1959,0.029105,58.7523778,25.3319078
Slovakia,1959,0.029241,48.7411522,19.4528646
Ireland,1959,0.028163,52.865196,-7.9794599
France,1959,0.026066,46.603354,1.8883335
Canada,1959,0.026033,61.0666922,-107.991707
Sweden,1781,0.197507,59.6749712,14.5208584
Portugal,1971,0.05083,39.6621648,-8.1353519
Belarus,1971,0.014295,53.4250605,27.6971358
United Kingdom,1971,0.015661,54.7023545,-3.2765753
Poland,1971,0.031127,52.215933,19.134422
Belgium,1971,0.017337,50.6402809,4.6667145
